DATE,CBETHUSD
2016-05-18,13.18
2016-05-19,14.9
2016-05-20,14.17
2016-05-21,.
2016-05-22,.
2016-05-23,13.61
2016-05-24,12.77
2016-05-25,12.61
2016-05-26,12.47
2016-05-27,10.98
2016-05-28,12.02
2016-05-29,12.34
2016-05-30,12.88
2016-05-31,14.16
2016-06-01,13.93
2016-06-02,14.03
2016-06-03,13.98
2016-06-04,13.95
2016-06-05,14.04
2016-06-06,14.22
2016-06-07,14.52
2016-06-08,14.64
2016-06-09,14.71
2016-06-10,13.91
2016-06-11,14.1
2016-06-12,15.58
2016-06-13,17.89
2016-06-14,18.79
2016-06-15,18.42
2016-06-16,20.99
2016-06-17,15.65
2016-06-18,11.64
2016-06-19,12.35
2016-06-20,11.81
2016-06-21,13.89
2016-06-22,13.18
2016-06-23,13.81
2016-06-24,14.55
2016-06-25,14.37
2016-06-26,14.02
2016-06-27,14.1
2016-06-28,12.23
2016-06-29,12.74
2016-06-30,12.49
2016-07-01,12.34
2016-07-02,12.09
2016-07-03,12.02
2016-07-04,11.48
2016-07-05,10.6
2016-07-06,10.61
2016-07-07,10.08
2016-07-08,11.43
2016-07-09,11.01
2016-07-10,11.02
2016-07-11,10.72
2016-07-12,10.57
2016-07-13,10.49
2016-07-14,11.62
2016-07-15,11.99
2016-07-16,11.8
2016-07-17,11.33
2016-07-18,11.05
2016-07-19,11.75
2016-07-20,12.5
2016-07-21,12.76
2016-07-22,14.83
2016-07-23,14.52
2016-07-24,12.78
2016-07-25,13.91
2016-07-26,12
2016-07-27,13.1
2016-07-28,12.93
2016-07-29,12.84
2016-07-30,12.49
2016-07-31,11.99
2016-08-01,10.95
2016-08-02,8.78
2016-08-03,10.68
2016-08-04,11.32
2016-08-05,11.18
2016-08-06,11.01
2016-08-07,10.99
2016-08-08,11.34
2016-08-09,12.28
2016-08-10,12.21
2016-08-11,11.73
2016-08-12,11.81
2016-08-13,11.61
2016-08-14,11.28
2016-08-15,11.3
2016-08-16,11.18
2016-08-17,10.82
2016-08-18,10.77
2016-08-19,10.77
2016-08-20,11.3
2016-08-21,11.21
2016-08-22,11.1
2016-08-23,11
2016-08-24,11.01
2016-08-25,11.34
2016-08-26,11.28
2016-08-27,11.18
2016-08-28,11.01
2016-08-29,10.95
2016-08-30,11.21
2016-08-31,11.7
2016-09-01,12.05
2016-09-02,12.15
2016-09-03,11.88
2016-09-04,11.77
2016-09-05,11.76
2016-09-06,11.71
2016-09-07,11.58
2016-09-08,11.39
2016-09-09,11.64
2016-09-10,12.21
2016-09-11,11.65
2016-09-12,11.86
2016-09-13,11.92
2016-09-14,11.91
2016-09-15,11.96
2016-09-16,12.58
2016-09-17,12.79
2016-09-18,12.64
2016-09-19,13.17
2016-09-20,14.56
2016-09-21,13.76
2016-09-22,13.2
2016-09-23,13.37
2016-09-24,12.97
2016-09-25,13.12
2016-09-26,12.84
2016-09-27,13.09
2016-09-28,13.32
2016-09-29,13.11
2016-09-30,13.23
2016-10-01,13.22
2016-10-02,13.28
2016-10-03,13.51
2016-10-04,13.32
2016-10-05,13.09
2016-10-06,12.86
2016-10-07,12.7
2016-10-08,12.26
2016-10-09,12.1
2016-10-10,11.78
2016-10-11,11.77
2016-10-12,11.92
2016-10-13,11.87
2016-10-14,11.92
2016-10-15,11.95
2016-10-16,11.95
2016-10-17,11.96
2016-10-18,12.54
2016-10-19,12.01
2016-10-20,12.06
2016-10-21,12.05
2016-10-22,12.03
2016-10-23,11.94
2016-10-24,11.92
2016-10-25,11.33
2016-10-26,11.49
2016-10-27,11.48
2016-10-28,11.13
2016-10-29,10.47
2016-10-30,11.19
2016-10-31,10.97
2016-11-01,10.84
2016-11-02,10.83
2016-11-03,10.87
2016-11-04,11.15
2016-11-05,11.16
2016-11-06,11.01
2016-11-07,10.93
2016-11-08,10.84
2016-11-09,10.62
2016-11-10,10.51
2016-11-11,10.29
2016-11-12,9.95
2016-11-13,10.14
2016-11-14,10.02
2016-11-15,10.27
2016-11-16,10
2016-11-17,9.91
2016-11-18,9.51
2016-11-19,9.68
2016-11-20,9.6
2016-11-21,9.54
2016-11-22,9.87
2016-11-23,9.8
2016-11-24,9.18
2016-11-25,9.4
2016-11-26,9.33
2016-11-27,8.98
2016-11-28,8.67
2016-11-29,8.14
2016-11-30,8.61
2016-12-01,8.45
2016-12-02,7.73
2016-12-03,7.86
2016-12-04,7.37
2016-12-05,6.75
2016-12-06,7.83
2016-12-07,8.35
2016-12-08,8.2
2016-12-09,8.47
2016-12-10,8.14
2016-12-11,8.23
2016-12-12,8.5
2016-12-13,8.41
2016-12-14,8.24
2016-12-15,7.83
2016-12-16,7.84
2016-12-17,7.85
2016-12-18,7.92
2016-12-19,7.64
2016-12-20,7.64
2016-12-21,7.91
2016-12-22,7.55
2016-12-23,7.13
2016-12-24,7.22
2016-12-25,7.19
2016-12-26,7.26
2016-12-27,7.16
2016-12-28,7.62
2016-12-29,8.29
2016-12-30,8.21
2016-12-31,8.16
2017-01-01,8.18
2017-01-02,8.38
2017-01-03,9.59
2017-01-04,11.17
2017-01-05,10.23
2017-01-06,10.14
2017-01-07,9.92
2017-01-08,10.5
2017-01-09,10.39
2017-01-10,10.63
2017-01-11,9.95
2017-01-12,9.8
2017-01-13,9.84
2017-01-14,9.86
2017-01-15,9.9
2017-01-16,9.66
2017-01-17,10.34
2017-01-18,10.23
2017-01-19,10.42
2017-01-20,10.62
2017-01-21,10.93
2017-01-22,10.77
2017-01-23,10.8
2017-01-24,10.57
2017-01-25,10.55
2017-01-26,10.6
2017-01-27,10.55
2017-01-28,10.58
2017-01-29,10.49
2017-01-30,10.6
2017-01-31,10.7
2017-02-01,10.72
2017-02-02,10.82
2017-02-03,10.99
2017-02-04,11.41
2017-02-05,11.26
2017-02-06,11.34
2017-02-07,11.51
2017-02-08,11.41
2017-02-09,11.02
2017-02-10,11.43
2017-02-11,11.52
2017-02-12,11.5
2017-02-13,11.43
2017-02-14,13.14
2017-02-15,12.98
2017-02-16,12.89
2017-02-17,12.75
2017-02-18,12.89
2017-02-19,12.9
2017-02-20,12.61
2017-02-21,12.83
2017-02-22,12.75
2017-02-23,13.21
2017-02-24,13.2
2017-02-25,13.65
2017-02-26,14.74
2017-02-27,15.66
2017-02-28,16.4
2017-03-01,17.37
2017-03-02,19.27
2017-03-03,19.68
2017-03-04,18.65
2017-03-05,19.4
2017-03-06,19.68
2017-03-07,18.96
2017-03-08,16.68
2017-03-09,17.82
2017-03-10,19.2
2017-03-11,21.64
2017-03-12,23.39
2017-03-13,28.64
2017-03-14,28.69
2017-03-15,35.65
2017-03-16,45.96
2017-03-17,44.62
2017-03-18,33.64
2017-03-19,43.21
2017-03-20,42.31
2017-03-21,42.36
2017-03-22,41.37
2017-03-23,42.99
2017-03-24,52.93
2017-03-25,50.5
2017-03-26,50.73
2017-03-27,48.97
2017-03-28,50.3
2017-03-29,53.1
2017-03-30,51.88
2017-03-31,50.18
2017-04-01,50.71
2017-04-02,48.74
2017-04-03,44.25
2017-04-04,44.47
2017-04-05,44.78
2017-04-06,43.3
2017-04-07,42.32
2017-04-08,44.45
2017-04-09,43.92
2017-04-10,43.92
2017-04-11,43.83
2017-04-12,46.48
2017-04-13,49.77
2017-04-14,47.2
2017-04-15,48.94
2017-04-16,48.13
2017-04-17,47.94
2017-04-18,49.79
2017-04-19,47.78
2017-04-20,49.38
2017-04-21,48.37
2017-04-22,48.61
2017-04-23,48.96
2017-04-24,50.12
2017-04-25,50.31
2017-04-26,53.42
